number,assigned_group,,,,,,,,,,,,,,
INC0331747,Collaboration Tools Support,,,,,,,,,,,,,,
INC0330673,Lotus Notes Support,,,,,,,,,,,,,,
INC0329074,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0331269,Integration Support,,,,,,,,,,,,,,
INC0331019,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331210,Integration Support,,,,,,,,,,,,,,
INC0330991,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331020,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331262,Integration Support,,,,,,,,,,,,,,
INC0331282,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331405,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0331351,Collaboration Tools Support,,,,,,,,,,,,,,
INC0328660,Collaboration Tools Support,,,,,,,,,,,,,,
INC0328824,Collaboration Tools Support,,,,,,,,,,,,,,
INC0322897,Collaboration Tools Support,,,,,,,,,,,,,,
INC0328804,Collaboration Tools Support,,,,,,,,,,,,,,
INC0328303,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331775,Collaboration Tools Support,,,,,,,,,,,,,,
INC0329193,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0326606,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0331861,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331903,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332212,Lotus Notes Support,,,,,,,,,,,,,,
INC0332230,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332551,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332568,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332571,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332872,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332877,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333109,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333268,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0332352,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333229,3rd Party Application Support,,,,,,,,,,,,,,
INC0333358,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332272,Collaboration Tools Support,,,,,,,,,,,,,,
INC0332904,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331816,Lotus Notes Support,,,,,,,,,,,,,,
INC0332335,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0331949,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0331887,3rd Party Application Support,,,,,,,,,,,,,,
INC0333287,Lotus Notes Support,,,,,,,,,,,,,,
INC0333420,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333405,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333663,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333766,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333796,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333835,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333827,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0334297,Integration Support,,,,,,,,,,,,,,
INC0333381,Lotus Notes Support,,,,,,,,,,,,,,
INC0333457,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333456,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333523,Lotus Notes Support,,,,,,,,,,,,,,
INC0333767,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333856,SAP Vistex Support,,,,,,,,,,,,,,
INC0334028,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334069,Collaboration Tools Support,,,,,,,,,,,,,,
INC0333415,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334365,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334307,SAP Vistex Support,,,,,,,,,,,,,,
INC0333784,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334432,3rd Party Application Support,,,,,,,,,,,,,,
INC0334441,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334758,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334761,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335005,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334493,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0334711,Lotus Notes Support,,,,,,,,,,,,,,
INC0335142,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335229,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335434,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0335031,SAP Vistex Support,,,,,,,,,,,,,,
